###################################
Word: interest
Data length: 2368
Senses available in data: {'interest_6', 'interest_4', 'interest_5', 'interest_1', 'interest_2', 'interest_3'}
Accuracy on train: 0.7419052088221493
Accuracy on validation: 0.6413502109704642
+------------+------------+
| predicted  |   truth    |
+------------+------------+
| interest_6 | interest_6 |
| interest_4 | interest_2 |
| interest_6 | interest_6 |
| interest_6 | interest_6 |
| interest_5 | interest_1 |
| interest_3 | interest_1 |
| interest_1 | interest_1 |
| interest_4 | interest_1 |
| interest_3 | interest_1 |
| interest_6 | interest_6 |
| interest_5 | interest_4 |
| interest_5 | interest_5 |
| interest_6 | interest_6 |
| interest_6 | interest_5 |
| interest_6 | interest_6 |
| interest_6 | interest_6 |
| interest_6 | interest_6 |
| interest_6 | interest_6 |
| interest_1 | interest_6 |
| interest_1 | interest_5 |
| interest_6 | interest_6 |
| interest_6 | interest_6 |
| interest_3 | interest_3 |
| interest_2 | interest_1 |
| interest_6 | interest_1 |
| interest_6 | interest_1 |
| interest_1 | interest_2 |
| interest_6 | interest_1 |
| interest_6 | interest_6 |
| interest_6 | interest_1 |
| interest_6 | interest_6 |
| interest_1 | interest_6 |
| interest_3 | interest_3 |
| interest_3 | interest_4 |
| interest_6 | interest_6 |
| interest_3 | interest_6 |
| interest_6 | interest_6 |
| interest_1 | interest_1 |
| interest_6 | interest_6 |
| interest_6 | interest_6 |
| interest_6 | interest_6 |
| interest_6 | interest_5 |
| interest_5 | interest_5 |
| interest_6 | interest_6 |
| interest_1 | interest_1 |
| interest_6 | interest_6 |
| interest_6 | interest_6 |
| interest_6 | interest_3 |
| interest_6 | interest_1 |
| interest_5 | interest_5 |
| interest_6 | interest_5 |
| interest_5 | interest_5 |
| interest_5 | interest_5 |
| interest_6 | interest_6 |
| interest_3 | interest_3 |
| interest_5 | interest_5 |
| interest_6 | interest_6 |
| interest_4 | interest_4 |
| interest_5 | interest_6 |
| interest_1 | interest_1 |
| interest_5 | interest_5 |
| interest_1 | interest_1 |
| interest_6 | interest_6 |
| interest_6 | interest_1 |
| interest_1 | interest_1 |
| interest_5 | interest_5 |
| interest_6 | interest_6 |
| interest_6 | interest_6 |
| interest_6 | interest_6 |
| interest_6 | interest_6 |
| interest_5 | interest_1 |
| interest_6 | interest_1 |
| interest_5 | interest_2 |
| interest_6 | interest_6 |
| interest_4 | interest_4 |
| interest_6 | interest_6 |
| interest_5 | interest_5 |
| interest_5 | interest_5 |
| interest_5 | interest_1 |
| interest_6 | interest_6 |
| interest_6 | interest_6 |
| interest_6 | interest_6 |
| interest_6 | interest_6 |
| interest_6 | interest_6 |
| interest_6 | interest_6 |
| interest_5 | interest_5 |
| interest_3 | interest_4 |
| interest_5 | interest_1 |
| interest_6 | interest_3 |
| interest_5 | interest_5 |
| interest_5 | interest_6 |
| interest_1 | interest_5 |
| interest_1 | interest_5 |
| interest_6 | interest_6 |
| interest_4 | interest_6 |
| interest_1 | interest_1 |
| interest_1 | interest_4 |
| interest_5 | interest_5 |
| interest_6 | interest_6 |
| interest_1 | interest_6 |
+------------+------------+
