###################################
Word: serve
Data length: 4378
Senses available in data: {'SERVE2', 'SERVE10', 'SERVE12', 'SERVE6'}
Accuracy on train: 0.6558375634517767
Accuracy on validation: 0.6095890410958904
+-----------+---------+
| predicted |  truth  |
+-----------+---------+
|  SERVE12  |  SERVE6 |
|  SERVE12  | SERVE12 |
|   SERVE2  |  SERVE2 |
|  SERVE10  |  SERVE6 |
|  SERVE12  | SERVE12 |
|  SERVE12  | SERVE12 |
|   SERVE6  |  SERVE6 |
|  SERVE12  | SERVE12 |
|   SERVE6  | SERVE12 |
|  SERVE12  | SERVE12 |
|   SERVE2  | SERVE10 |
|   SERVE2  | SERVE10 |
|  SERVE10  | SERVE10 |
|  SERVE12  | SERVE12 |
|  SERVE10  | SERVE10 |
|   SERVE2  |  SERVE2 |
|   SERVE6  | SERVE10 |
|   SERVE2  |  SERVE2 |
|   SERVE2  | SERVE10 |
|  SERVE10  | SERVE10 |
|   SERVE2  |  SERVE2 |
|   SERVE2  |  SERVE2 |
|  SERVE10  | SERVE10 |
|  SERVE10  | SERVE10 |
|   SERVE6  | SERVE12 |
|  SERVE10  | SERVE10 |
|   SERVE2  | SERVE12 |
|   SERVE2  |  SERVE2 |
|   SERVE6  |  SERVE6 |
|  SERVE10  | SERVE10 |
|   SERVE6  | SERVE12 |
|  SERVE12  | SERVE10 |
|   SERVE6  | SERVE10 |
|  SERVE10  | SERVE10 |
|  SERVE12  | SERVE12 |
|  SERVE10  | SERVE10 |
|  SERVE10  |  SERVE2 |
|   SERVE2  | SERVE12 |
|   SERVE2  | SERVE10 |
|   SERVE6  | SERVE12 |
|  SERVE10  |  SERVE2 |
|   SERVE2  |  SERVE2 |
|  SERVE12  | SERVE12 |
|  SERVE12  | SERVE12 |
|   SERVE2  | SERVE10 |
|  SERVE10  | SERVE10 |
|  SERVE12  | SERVE12 |
|  SERVE12  | SERVE10 |
|  SERVE10  | SERVE10 |
|   SERVE2  | SERVE10 |
|   SERVE2  | SERVE10 |
|   SERVE2  |  SERVE2 |
|   SERVE2  |  SERVE6 |
|  SERVE10  | SERVE10 |
|  SERVE10  | SERVE10 |
|  SERVE10  | SERVE10 |
|  SERVE12  | SERVE12 |
|  SERVE10  |  SERVE2 |
|  SERVE12  | SERVE12 |
|  SERVE12  | SERVE12 |
|  SERVE12  | SERVE12 |
|   SERVE2  | SERVE12 |
|   SERVE2  |  SERVE2 |
|  SERVE12  | SERVE12 |
|  SERVE10  |  SERVE2 |
|   SERVE6  | SERVE12 |
|  SERVE12  | SERVE12 |
|   SERVE2  | SERVE10 |
|  SERVE10  | SERVE10 |
|   SERVE6  |  SERVE6 |
|   SERVE2  |  SERVE2 |
|   SERVE2  | SERVE12 |
|  SERVE10  | SERVE10 |
|  SERVE12  | SERVE12 |
|  SERVE10  | SERVE10 |
|  SERVE12  |  SERVE2 |
|  SERVE10  | SERVE12 |
|   SERVE2  |  SERVE2 |
|  SERVE12  | SERVE12 |
|  SERVE12  | SERVE12 |
|   SERVE6  | SERVE12 |
|   SERVE2  |  SERVE2 |
|  SERVE10  | SERVE10 |
|  SERVE10  | SERVE10 |
|  SERVE12  | SERVE12 |
|   SERVE6  | SERVE10 |
|  SERVE10  | SERVE10 |
|  SERVE10  | SERVE10 |
|  SERVE10  |  SERVE2 |
|   SERVE2  |  SERVE2 |
|  SERVE10  | SERVE10 |
|  SERVE10  | SERVE10 |
|  SERVE10  | SERVE10 |
|  SERVE10  | SERVE10 |
|  SERVE12  | SERVE10 |
|  SERVE10  | SERVE10 |
|  SERVE10  | SERVE10 |
|  SERVE10  | SERVE10 |
|  SERVE12  | SERVE12 |
|  SERVE12  | SERVE12 |
+-----------+---------+
